Site_ID,YearMonth,Month,CBI_Extreme,CBI_Normal,Macro_SD_Extreme,Macro_SD_Normal,R2_Extreme,R2_Normal,n_hours_Extreme,n_hours_Normal,Delta_CBI_Extreme_minus_Normal,Direction
95332217,2025-04,4,0.7316531667362092,0.7359620624340122,4.365451248368573,4.49736574773683,0.7764295019202038,0.8660911739729881,216.0,288.0,-0.004308895697803017,基本不变
95332220,2025-04,4,0.7712544231136718,0.8690202228018031,4.362423094425614,4.430597708107615,0.8229412353441491,0.8785438912616683,168.0,240.0,-0.09776579968813137,Extreme更低_表观缓冲增强
95332221,2025-08,8,0.5854591507492887,0.6036826759237461,3.237176203408534,3.120744637116056,0.9099141938450668,0.8399661786486489,72.0,120.0,-0.018223525174457467,Extreme更低_表观缓冲增强
95332225,2025-08,8,1.0865459811473344,1.0577114671795032,3.437528995652296,3.083972163308418,0.8130770390876617,0.7227459090843038,120.0,264.0,0.02883451396783121,Extreme更高_缓冲减弱
95332226,2025-09,9,0.3613920177025561,0.32999972463174526,3.177628098880288,3.265185259811848,0.7834382900753297,0.5958134031186352,72.0,216.0,0.03139229307081082,Extreme更高_缓冲减弱
95332227,2025-08,8,0.4940577371966119,0.4966915769511073,3.612598823733265,2.9628216513972703,0.7140517768078217,0.6684950880401191,120.0,240.0,-0.0026338397544954373,基本不变
95332227,2025-09,9,0.4743797266232594,0.4579032920602133,3.1942732994259595,3.310543084720256,0.6237496505734154,0.6773438133459245,144.0,168.0,0.016476434563046094,Extreme更高_缓冲减弱
95332228,2025-08,8,0.8215326484452593,0.7216042162649055,3.730558839204107,2.9147470505943174,0.7768139787954974,0.7107121616784169,216.0,264.0,0.09992843218035385,Extreme更高_缓冲减弱
95332228,2025-09,9,0.8623524436916437,0.7737374589822099,3.3994095014940906,3.5154087739896056,0.8734819447941693,0.8319272125425012,96.0,432.0,0.08861498470943374,Extreme更高_缓冲减弱
95332230,2025-08,8,0.8004844924107887,0.8162064555656877,3.8067422034627376,3.0057260343456553,0.8722168153071614,0.730644191225442,168.0,264.0,-0.015721963154899044,Extreme更低_表观缓冲增强
95332230,2025-09,9,0.8381246702883624,0.6996295070892764,3.4340689193021876,3.5362038586380087,0.9212495606826071,0.7671421760350697,120.0,240.0,0.13849516319908595,Extreme更高_缓冲减弱
95332231,2025-08,8,0.44178953714833064,0.4371477375880645,3.273811495332907,3.186498750175894,0.8171279160894204,0.723413591900128,96.0,240.0,0.004641799560266113,基本不变
95332235,2025-04,4,0.8957165365516356,0.7872179359193673,4.376344632877577,4.585202034731905,0.8259336223868327,0.8783613089934246,240.0,240.0,0.10849860063226835,Extreme更高_缓冲减弱
95332236,2025-04,4,0.9584271586366331,1.0645085748929999,4.436015062285431,4.353914821140031,0.7395811386096472,0.8741209637704664,240.0,192.0,-0.1060814162563668,Extreme更低_表观缓冲增强
95332242,2025-09,9,0.6635965021534768,0.5295573605003283,3.042798687029884,3.1029119904651834,0.8842800813237932,0.8032270456800285,72.0,264.0,0.13403914165314845,Extreme更高_缓冲减弱
95332244,2025-04,4,0.8675404239533564,0.7348031704219812,4.320609024598221,4.482860765575836,0.7760729088411611,0.870734033330198,240.0,312.0,0.13273725353137522,Extreme更高_缓冲减弱
