Comparison,Metric,Mean_Difference,Median_Difference,Mean_Absolute_Difference,RMSE,Max_Absolute_Difference,Pearson_R,Spearman_R,Same_Count_Percent
Bilinear_vs_Nearest,Daily_SPI,0.0004130397657867501,0.0010761643131989573,0.04745808854207154,0.07576033954271573,0.9913028946669882,0.9954815982360987,0.9957118846880422,
Mean3x3_vs_Nearest,Daily_SPI,0.003152999947148125,0.0018790264924367084,0.07649419967718259,0.10995080245308436,1.2265602284007602,0.990458830705996,0.991165849070904,
Bilinear_vs_Nearest,Drought_Days,-0.48148148148148145,-1.0,2.7037037037037037,3.3829638550307397,7.0,0.9842729580570676,0.9859308586500813,
Mean3x3_vs_Nearest,Drought_Days,-2.3703703703703702,-3.0,4.37037037037037,5.483983413001362,17.0,0.9673482776691065,0.9565909661220172,
Bilinear_vs_Nearest,Total_Severity,-1.3247400559069886,-1.1287608072330357,2.752058916492997,3.3664381312324045,6.399179432414144,0.9936868757203056,0.9884004884004883,
Mean3x3_vs_Nearest,Total_Severity,-3.5446569453738057,-4.949199928177734,5.726304143563258,6.535988122225923,12.691169909305046,0.9800344288241251,0.9633699633699633,
Bilinear_vs_Nearest,Event_Count_Total,0.037037037037037035,0.0,0.5555555555555556,0.9229582069908973,2.0,0.7809648724306831,0.804386463354159,59.25925925925925
Mean3x3_vs_Nearest,Event_Count_Total,0.037037037037037035,0.0,0.7037037037037037,1.0,2.0,0.6663217466609633,0.699828510131171,44.44444444444444
Bilinear_vs_Nearest,Max_Event_Duration,-0.5185185185185185,0.0,0.6666666666666666,1.6101529717988265,6.0,0.9898068855390221,0.9807247623592783,
Mean3x3_vs_Nearest,Max_Event_Duration,-1.4444444444444444,0.0,3.814814814814815,7.315635209502899,23.0,0.7928173851803288,0.8324586950063996,
Bilinear_vs_Nearest,Max_Event_Severity,-0.6635912223578997,-0.27320577503478916,1.3595291779809022,2.3612075404694433,9.407057819738704,0.9848606639254037,0.9786324786324787,
Mean3x3_vs_Nearest,Max_Event_Severity,-1.601769667586845,-0.8406782050927504,3.7809901875161085,6.866637377841263,22.448435564835876,0.8713921336823759,0.8949938949938949,
Bilinear_vs_Nearest,Worst_Event_Min_SPI,0.04162665987739861,0.013330201191290358,0.06340977681977539,0.11495771356470057,0.5085954777750499,0.9165883763466393,0.8919413919413919,
Mean3x3_vs_Nearest,Worst_Event_Min_SPI,0.05703234672546385,0.05003829797108961,0.10767167389638138,0.15056554724871504,0.46298278702629947,0.8534351367045188,0.7887667887667887,
Bilinear_vs_Nearest,Worst_Event_Level,,,,,,,,96.29629629629629
Mean3x3_vs_Nearest,Worst_Event_Level,,,,,,,,100.0
